open_issue_id,open_issue_title,match_found,score,match_issue_id,match_issue_title
23047,[Bug]: Thinking blocks corrupted on round-trip when assistant performs multiple web searches,False,0.8038,,
23034,[Bug]: Langfuse logging stopped working on its own on v1.81.16,False,0.7983,,
23033,"Add ""mercury 2"" model from inceptionlabs.ai in ""model_prices_and_context_window.json""",True,0.8701,19476,"Add ""Sarvam Ai"" in ""model_prices_and_context_window.json"""
23031,[Bug]: AzureOpenAIGPT5Config missing is_model_gpt_5_1_model attribute — Azure GPT-5.4 deployment fails with AttributeError,False,0.8210,,
23025,Anthropic message format validation doesn't reject unsupported image URL sources in /v1/messages endpoint,False,0.7747,,
23022,[Feature]: `config.yaml`'s JSON Schema,False,0.8041,,
23016,"[Bug]: /v1/messages with image url source returns ""URL sources are not supported"" but /v1/chat/completions works fine",False,0.8341,,
23014,[Bug]: gpt-5.4-pro does not work with the v1/chat/completions endpoint,False,0.8142,,
23005,[Bug] UI very slow in version 1.82.x,False,0.6892,,
22998,[Bug]: litellm_proxy_extras migrations recorded as applied but columns not created — causes silent failures and 500 errors on upgrade,False,0.8382,,
22997,[Bug]: Latest stable 1.81.14 fails on thinking and tools,False,0.8083,,
22996,[Feature]: Support Azure-hosted Containers for Code Interpreter file retrieval,False,0.7826,,
22984,[Bug]: Proper usage handling from VLLM (cached_tokens),True,0.8710,14874,[Bug]: xAI cached token cost calculation incorrect when using xAI as OpenAI-compatible model + xai not calculating cached token cost
22983,"[Bug]: v1.81.14-nightly - litellm-proxy-extras 0.4.46 ships a schema.prisma with a duplicate LiteLLM_DeletedTeamTable model, breaking prisma generate",False,0.8282,,
22973,[Feature]: Add the ability to filter logs on sessionId,False,0.8028,,
22972,[Bug]: Missing jp. (Japan) region prefix for claude-sonnet-4-6 in model_prices_and_context_window.json,False,0.7923,,
22970,[Bug]: VertexAI (Gemini) + LiteLLM Request Caching is broken,False,0.8304,,
22968,ChatGPT provider rejects system-role payloads in chat/responses paths,False,0.7934,,
22966,[Feature]: Key-level tag routing enforcement (allowed_tags or enforced_tags on virtual keys),False,0.8339,,
22965,[Bug]: VertexAI - unable to use 3rd party model - Qwen 3.5 with dedicated endpoint,False,0.7970,,
22963,Claude Code fails with non-Anthropic models via LiteLLM Proxy (Unknown parameter: output_config),False,0.8524,,
22962,"Vertex AI Live WebSocket Passthrough returns 1011 ""Vertex AI authentication failed"" even when model is added via dashboard with service account JSON",False,0.8058,,
22949,[Bug]: LiteLLM Proxy's Bedrock guardrail returns original input instead of blocked output,False,0.8594,,
22946,[Bug] /v1/messages pass-through: Anthropic rejects tool_use ordering when context compaction merges assistant turns,False,0.8039,,
22930,[Bug]: `/v1/messages` endpoint does not sanitize empty text content blocks,False,0.8206,,
22928,MCP tool discovery fails with remote Streamable HTTP servers — asyncio.CancelledError / anyio TaskGroup race,False,0.7704,,
22900,"[Bug]: vertex_ai/gemini-3.1-flash-lite-preview returns ""finish_reason"": ""stop"" instead of ""tool_calls"" when using streaming",True,0.9185,21041,"[Bug]: Gemini 3 Flash returns finish_reason=""stop"" instead of ""tool_calls"" in streaming mode with tools"
22898,[Bug]: Azure GPT-5.2 chat rejects leaked vector_store_ids from extra_body passthrough,False,0.7742,,
22878,[Bug]: litellm.llms.openai.common_utils.OpenAIError: Bad Request when using Claude Code 2.1.69,False,0.8620,,
22863,[Bug]: Spending for Huggingface model is always $0,False,0.8210,,
22856,[Bug]: Unabled to change anthropic base url when adding provider,False,0.8009,,
22855,[Feature]: Full MCP spec support via the gateway,False,0.8646,,
22854,[Bug] Cannot update the MCP servers with api,False,0.8071,,
22852,[Bug] Cannot set all mcps back to private after setting one to public,False,0.7631,,
22841,[Bug]: v1/messages 接口传递 tool_result 类型消息丢失,False,0.8084,,
22821,[Bug] Presidio guardrail: end-to-end PII masking broken with Anthropic native API,False,0.7973,,
22813,[Feature]: Support image edit quality & input_fidelity parameters,False,0.7701,,
22812,[Bug]: custom exceptions missing __reduce__ cause BrokenProcessPool in concurrent.futures,False,0.7862,,
22807,Postmortem: `litellm-pgvector` Deployment -> Self-Hosted Kubernetes on ARM64,False,0.7509,,
22805,[Bug]: LiteLLM Proxy doesn't cancel ongoing request when client connection closes,False,0.7974,,
22797,[Bug]: Bedrock Invoke rejects Anthropic v1/message's `output_config` parameter — missing transformation in Bedrock messages layer,False,0.8191,,
22796,Feature Request: Add Redis Sentinel support to router_settings in proxy YAML config,False,0.7932,,
22791,[Bug]: LiteLLM Proxy UI does not show all models,False,0.8667,,
22773,"[BUG]DynamoAI Guardrail missing initializer registration - ""Unsupported guardrail: dynamoai"" error",False,0.8055,,
22772,[Feature]: Add hook for mid stream error transformation,False,0.7792,,
22762,Official Docker images missing opentelemetry-instrumentation - OTEL metrics and logs don't work,False,0.8128,,
22760,Installation Issues: Prisma Client Generation and Zsh posix_spawn Errors,False,0.7509,,
22758,Issue:  Docker Compose Installation Failures (prometheus.yml & P1001 DB Connection),True,0.9972,22759,Issue:  Docker Compose Installation Failures (prometheus.yml & P1001 DB Connection)
22756,[Bug]: litellm proxy (UI) error with 401 key blocked sporadically,False,0.8078,,
22755,[Bug]: Unable to list MCP tools with OAuth through the UI Dashboard,True,0.8842,14069,[Bug]:  MCP Gateway can't list the tools
22753,[Bug]: `llm_requests_hanging` alerts ignore digest mode,False,0.8168,,
22747,"azure_api_type: responses uses aiohttp transport which has ~60s socket idle timeout, ignoring timeout parameter -GPT-5-PRO",False,0.7909,,
22726,[Bug]: BudgetExceeded Error when there is no budget set.,False,0.8177,,
22709,"[Bug]: response body ""model"" field returns model group alias instead of resolved deployment model since #19943",False,0.8510,,
22706,[Bug]: MCP server rewrites custom auth exceptions,False,0.8277,,
22694,[Bug]: Cannot Use Gemini Deep Research Interactions,False,0.8070,,
22690,Cost tracking fails for Cerebras models - 'NoneType' object has no attribute 'choices',False,0.8138,,
22686,[Bug]: Bedrock AgentCore streaming stops after tool execution,True,0.8888,19789,[Bug]: Gemini 3 Pro tool-calling fails silently in streaming (MALFORMED_FUNCTION_CALL treated as stop)
22672,[Feature]: Improvements to /a2a: auth and agent-card.json pass-through,False,0.7660,,
22671,[Bug]: stream_chunk_builder raises misleading APIError when provider returns non-standard finish_reason (e.g. ZhipuAI/GLM 'network_error'),False,0.8480,,
22670,[Bug]: Github MCP list_tools() returns list of tools with MCP name prefix,False,0.8436,,
22667,[Bug]: LiteLLM 1.82.1 OpenRouter Model IDs no longer working,False,0.8389,,
22659,[Bug]: Litellm proxy embeddings request with enabled cache can return identical vectors for different items in the same batch,False,0.8006,,
22645,"[Bug]: In Litellm Proxy, Failed when multiple endpoints with adapter from custom_callbacks.py",False,0.7962,,
22644,[Bug]: ProxyException doesn't show message when stringified,False,0.7991,,
22643,Does Semantic Cache for Redis support clusters?,False,0.7498,,
22637,[Bug]:  Bedrock Converse fails with parallel_tool_calls on Claude 4.5+,False,0.8510,,
22630,[Feature]: Include prompt information in Braintrust logs,False,0.8212,,
22594,[Bug]: Deleted team BYOK models persist in /models,False,0.8303,,
22580,prometheus_metrics_config include_labels not respected for litellm_llm_api_time_to_first_token_metric,False,0.8609,,
22578,"Parallel tool calls fail with Gemini 3 via Responses API: ""Missing corresponding tool call for tool response message""",False,0.8308,,
22577,[Bug]: vector_store/search Access denied: You do not have permission to access this vector store,True,0.8777,16303,[Bug]: API key can still access unauthorized vector store via `/v1/vector_stores/{id}/search`
22557,[Bug]: anthropic_messages / aanthropic_messages path never computes response_cost,False,0.7996,,
22554,[Bug]: Docs site is down,False,0.7694,,
22551,[Bug]: `completion_cost` function broken when used in a custom proxy callback in recent versions,False,0.8037,,
22529,[Bug]: Request Logs / Spend logs no longer showing in the UI,False,0.7868,,
22478,[Bug]: Bedrock moonshotai.kimi-k2.5 max_output_tokens incorrectly set to context window size (262144),False,0.8628,,
22445,[Bug]: MCP Semantic Tool Filter returns 0 tools — tool name mismatch between router index and expanded tools,False,0.7844,,
